day,price
1,0.9625477594591427
2,0.9184516189597325
3,0.9231020805563495
4,0.9210370496068147
5,0.8577269021998497
6,0.8761856239731516
7,0.8706628839083578
8,0.8605997983312037
9,0.8713792116082499
10,0.8602653454282586
11,0.8564165365733092
12,0.891375221167871
13,1.0107078952383277
14,1.0870780670830849
15,1.166702599103717
16,1.0994377341653474
17,1.0408268820252797
18,1.131479764392976
19,1.1535956887192609
20,1.1261040793425463
21,1.1174824718568648
22,1.2107190786765227
23,1.2088508022004592
24,1.2339014690665264
25,1.1451871337395945
26,1.1310205237337905
27,1.153730496561319
28,1.1391119208426017
29,1.1054134066115573
30,1.1144857545267886
