day,price
1,1.0281701972958646
2,1.0427793351832115
3,0.9653065560409058
4,0.9647893744981734
5,1.0310815509275015
6,1.1234801192765789
7,1.1454915053579104
8,1.1205950794229076
9,1.1489729126741894
10,1.200172759366275
11,1.2752442326828102
12,1.2797778257782322
13,1.1942011826601546
14,1.2731570521375295
15,1.332462634055597
16,1.3859725315701459
17,1.4526026304915898
18,1.3359593840416244
19,1.5065469463030023
20,1.5323242657505771
21,1.686890477963078
22,1.7934186085935553
23,1.7040997180662278
24,1.6142653693815308
25,1.4980537106820195
26,1.57016531596352
27,1.451035971027686
28,1.5841538341612396
29,1.5513668361544162
30,1.4670371143295697
