day,price
1,1.0011087241218066
2,1.0024280771528453
3,1.0009244652515736
4,1.0011188704692384
5,1.001320805425739
6,0.9960553693187953
7,0.9923180432956344
8,0.9923328678030261
9,0.9917897842190248
10,0.9926613690674678
11,0.9923816674515257
12,0.9922798524858555
13,0.993854451325845
14,0.9933764901718658
15,0.9924592048759893
16,0.993345823431828
17,0.9912927685466261
18,0.9913522453710858
19,0.9914674597329661
20,0.9928606970505272
21,0.9937142716571996
22,0.99417310188822
23,0.994360850454005
24,0.9970305358057283
25,0.9968416123129488
26,0.9966922532107998
27,0.9938279460865034
28,0.9931553096075805
29,0.9925593476617529
30,0.9926886977682334
