day,price
1,1.1103882588690015
2,1.272185134907848
3,1.217966823818991
4,1.1927824022258031
5,1.1175570367852057
6,1.0619789254928538
7,1.05419509029405
8,1.0382185509757889
9,1.035961266211366
10,1.0600066644321953
11,0.9949146495953507
12,0.9646880446125176
13,0.9832278451735723
14,0.9156063547641686
15,0.9366410846718115
16,0.8718265696494805
17,0.854701740622108
18,0.949649893261542
19,0.9148203639282954
20,0.8694918955979474
21,0.8117176289861336
22,0.7351877195480997
23,0.6957320718332494
24,0.6441797136520613
25,0.6444875848200912
26,0.7381955783706938
27,0.7128982724719943
28,0.7159978213918035
29,0.6844881452029943
30,0.7326715854459518
