day,price
1,0.9998751522647846
2,0.9987598472202708
3,0.9978998630654369
4,0.9983901361382364
5,1.000564033870011
6,0.9982043637945646
7,0.9981482415718478
8,1.0003115727528262
9,1.0011155262299904
10,1.0001463865890823
11,1.0017016705677724
12,1.0038030260094033
13,1.0033942850438886
14,1.0034921337591391
15,1.0043867706595015
16,1.0042435825146134
17,1.004444303927963
18,1.0047350386778917
19,1.0045064548278886
20,1.0048471931734237
21,1.0070376037237128
22,1.0096450110479298
23,1.0129604066263715
24,1.0120220684974992
25,1.0174411469608768
26,1.0184137078582085
27,1.0212386291933406
28,1.0227972841271027
29,1.0212536561705658
30,1.0194484038634517
