day,price
1,0.9904559776512394
2,0.9654668076539678
3,0.9169040552827461
4,0.8930971528186638
5,0.9107006733741063
6,1.407592258802404
7,1.115631018706168
8,1.0085011414020826
9,1.0654501862919759
10,1.0974612822603085
11,1.100315366558497
12,1.1125481867737785
13,1.0311866107074172
14,0.9942015267939455
15,0.9922432232327022
16,0.9797442690765703
17,0.984719434947374
18,1.0358831538378719
19,1.0932979970968633
20,1.1184069789008615
21,1.1630307121965948
22,1.1724691273671684
23,1.174358022009176
24,1.1269130676001924
25,1.1028954440330052
26,1.0934220458644959
27,1.0191576929695612
28,1.0136423003636421
29,0.9998481680573421
30,1.009260103248739
